iter	RMSE
354	13382.56198
355	13362.05085
356	13359.84852
357	13331.13924
358	13307.92218
359	13305.572
360	13286.41744
361	13279.94797
362	13262.78715
363	13240.19257
364	13238.19183
365	13225.60897
366	13223.61905
367	13209.0818
368	13199.40164
369	13185.15642
370	13168.19282
371	13147.467
372	13132.18208
373	13112.72369
374	13093.19609
375	13078.50674
376	13061.82254
377	13038.68485
378	13023.19625
379	13007.11542
380	12998.65975
381	12973.46138
382	12960.492
383	12944.25373
384	12934.86017
385	12920.98947
386	12907.99435
387	12883.1215
388	12862.38269
389	12844.89449
390	12835.17834
391	12823.59472
392	12821.54651
393	12805.71741
394	12790.57007
395	12776.83276
396	12762.57157
397	12751.80456
398	12743.81886
399	12737.70013
400	12723.98821
401	12707.01555
402	12693.82728
403	12685.94451
404	12681.06655
405	12652.75387
406	12637.71575
407	12619.86291
408	12604.00025
409	12586.99794
410	12574.39877
411	12572.48872
412	12562.47642
413	12560.62104
414	12546.94304
415	12535.8972
416	12527.92856
417	12526.18065
418	12514.43236
419	12493.87056
420	12491.19449
421	12470.99434
422	12460.62368
423	12458.90172
424	12457.22457
425	12455.83192
426	12443.67183
427	12437.3457
428	12413.52917
429	12396.63421
430	12395.33077
431	12379.75916
432	12369.0215
433	12355.55833
434	12338.46856
435	12314.16086
436	12304.02545
437	12287.20974
438	12270.3343
439	12268.74488
440	12267.33758
441	12242.54141
442	12241.10906
443	12239.74014
444	12217.4674
445	12203.74227
446	12188.47887
447	12175.03352
448	12161.62232
449	12160.50669
450	12151.47659
451	12137.65963
452	12120.09042
453	12108.82481
454	12107.51156
455	12106.37004
456	12087.39482
457	12067.56165
458	12066.37516
459	12055.283
460	12033.29544
461	12032.1484
462	12020.38351
463	12019.27413
464	12007.98819
465	11999.32797
466	11989.0091
467	11987.92207
468	11962.45968
469	11951.46954
470	11950.41917
471	11939.87348
472	11923.26864
473	11917.14925
474	11899.04243
475	11882.03274
476	11865.43634
477	11849.38647
478	11840.77655
479	11825.26469
480	11805.23007
481	11781.12885
482	11758.94644
483	11749.26522
484	11743.3824
485	11742.37918
486	11724.52451
487	11711.41218
488	11709.71791
489	11699.07887
490	11680.28093
491	11667.9096
492	11666.98126
493	11650.11315
494	11648.55658
495	11642.26786
496	11629.66517
497	11628.51032
498	11626.07686
499	11612.19441
500	11595.88579
501	11585.77287
502	11577.23406
503	11563.66277
504	11549.4401
505	11530.62198
506	11517.13333
507	11497.82598
508	11495.02974
509	11477.58737
510	11475.11536
511	11464.02673
512	11455.92195
513	11443.29404
514	11429.67929
515	11410.96954
516	11393.31721
517	11380.11018
518	11374.04465
519	11363.91699
520	11352.81799
521	11339.15749
522	11333.56532
523	11317.54505
524	11304.13681
525	11288.24362
526	11275.75731
527	11263.35708
528	11252.81028
529	11244.87938
530	11228.31067
531	11206.98282
532	11184.06143
533	11173.41437
534	11164.6411
535	11159.36386
536	11147.7549
537	11133.55993
